PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2009,0.02,0,0.54,0.58,7.22,21.4,50.18,22.55,16.18,4.94,5.86,2.13,11.06
PRECTOTCORR,2010,0.07,0.02,0.15,1.79,4.46,30.06,49.48,25.16,21.81,13.94,8.93,0.57,13.11
PRECTOTCORR,2011,0.03,0.09,0.02,3.1,3.41,26,37.89,31.61,16.49,7.25,3.12,0.03,10.83
PRECTOTCORR,2012,0,0.03,0.01,3.38,0.4,28.87,21.27,35.97,13.55,5.83,3.95,0.13,9.47
PRECTOTCORR,2013,0,1.28,0.74,0.27,4.9,44.68,50,25.15,13.77,7.21,2.5,0.18,12.62
PRECTOTCORR,2014,0.05,0.02,0.09,1.24,5.02,21.02,45.16,35.6,13.54,5.77,0.95,1.01,10.9
PRECTOTCORR,2015,0.02,0.03,0.96,2.69,6.66,27.69,29.11,21.44,11.83,5.91,3.06,0.24,9.19
PRECTOTCORR,2016,0.02,0.02,0.06,0.22,4.24,38.36,26.29,18.43,9.01,2.5,0.39,0.57,8.35
PRECTOTCORR,2017,0.1,0.01,0.23,0.64,3.99,24.28,22.98,22.41,10.31,5.01,1.07,0.26,7.65
PRECTOTCORR,2018,0.15,0.16,0.35,1.16,11.12,24.55,26.58,22.9,2.56,4.17,0.81,0.17,7.96
PRECTOTCORR,2019,0,0.02,0.13,0.87,1.01,14.4,26.68,39.45,19.24,19.58,1.09,1.01,10.39
PRECTOTCORR,2020,0.01,0.11,0.29,1.22,5.84,28.24,37.91,34.56,29.33,15.45,1.25,1.15,12.99
PRECTOTCORR,2021,2.55,0.38,0.17,2.85,12.47,22.81,35.55,14.42,15.21,14.14,10.38,0.37,11.01
